NumberofFloors,NumberofBuildings,BUILDING_AGE,PropertyGFATotal,PropertyGFATotal-binned,Neighborhood,PropertyType,RATIO_ELECTRICITY,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
12.0,1.0,95.0,88434.0,Medium,DOWNTOWN,Hotel,52.79951,True,True,False,6981428.0,249.43,65.0
11.0,1.0,26.0,103566.0,Medium,DOWNTOWN,Hotel,46.74768,True,False,False,8354235.0,263.51,51.0
10.0,1.0,96.0,61320.0,Medium,DOWNTOWN,Hotel,9.80903,True,True,False,28229320.0,1936.34,1.0
18.0,1.0,42.0,175580.0,Medium,DOWNTOWN,Hotel,40.90771,True,False,False,14829099.0,507.7,67.0
11.0,1.0,96.0,83008.0,Medium,DOWNTOWN,Hotel,42.85568,True,False,False,6252842.0,208.46,25.0
15.0,1.0,118.0,163984.0,Medium,DOWNTOWN,Hotel,58.22224,True,False,False,12633744.0,331.61,46.0
11.0,1.0,53.0,153163.0,Medium,DOWNTOWN,Hotel,43.05431,True,True,False,14719853.0,576.63,48.0
25.0,1.0,24.0,333176.0,Large,DOWNTOWN,Hotel,68.76179,True,True,False,27717026.0,723.4,32.0
9.0,1.0,94.0,65009.0,Medium,DOWNTOWN,Hotel,23.72562,True,True,False,6807227.0,334.87,39.0
33.0,1.0,42.0,315952.0,Large,DOWNTOWN,Hotel,61.77055,True,True,False,22811690.0,675.34,56.0
11.0,1.0,100.0,92190.0,Medium,DOWNTOWN,Hotel,38.1779,True,True,False,10711451.0,486.25,14.0
28.0,1.0,39.0,416281.0,Large,DOWNTOWN,Hotel,65.92102,True,False,False,33270518.0,755.12,30.0
10.0,1.0,106.0,104352.0,Medium,DOWNTOWN,Hotel,22.82523,True,True,False,7845112.0,411.22,83.0
6.0,1.0,21.0,88592.0,Medium,NORTHEAST,Hotel,58.10007,True,False,False,3880806.0,102.08,85.0
8.0,1.0,31.0,158676.0,Medium,EAST,Hotel,10.32587,True,False,False,5159342.0,249.43,
10.0,1.0,21.0,171866.0,Medium,DOWNTOWN,Hotel,52.26828,True,False,False,11026945.0,319.73,20.0
5.0,1.0,44.0,68410.0,Medium,DOWNTOWN,Hotel,52.42741,True,False,False,4341706.0,125.57,60.0
4.0,1.0,28.0,81871.0,Medium,NORTHEAST,Hotel,44.02121,True,False,False,7419765.0,243.37,20.0
24.0,1.0,53.0,332210.0,Large,DOWNTOWN,Hotel,78.59634,True,False,False,15660628.0,263.85,68.0
20.0,1.0,92.0,98634.0,Medium,DOWNTOWN,Hotel,87.8103,True,False,False,6175812.0,77.8,46.0
7.0,1.0,37.0,71150.0,Medium,DOWNTOWN,Hotel,60.5734,True,False,False,5040382.0,126.83,99.0
7.0,1.0,114.0,122810.0,Medium,DOWNTOWN,Hotel,25.66865,True,False,False,5086863.0,209.92,99.0
5.0,1.0,63.0,113173.0,Medium,LAKE UNION,Hotel,62.65696,True,False,False,4988241.0,120.73,86.0
7.0,1.0,22.0,150453.0,Medium,LAKE UNION,Hotel,53.34856,True,False,False,6722886.0,191.58,83.0
6.0,1.0,25.0,116300.0,Medium,LAKE UNION,Hotel,53.84145,True,False,False,6014078.0,170.01,84.0
6.0,1.0,24.0,155602.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,66.03386,True,False,False,6915293.0,156.59,81.0
4.0,1.0,23.0,122942.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,45.49482,True,False,False,5276777.0,169.49,94.0
6.0,1.0,14.0,84103.0,Medium,LAKE UNION,Hotel,74.78556,True,False,False,3979132.0,74.04,68.0
7.0,1.0,114.0,76631.0,Medium,EAST,Hotel,38.4972,True,False,False,7231928.0,255.64,24.0
7.0,1.0,32.0,282863.0,Large,LAKE UNION,Hotel,56.50172,True,False,False,18829136.0,509.18,40.0
6.0,1.0,20.0,96910.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,55.72538,True,False,False,5061274.0,138.68,52.0
4.0,1.0,60.0,50017.0,Small,NORTHEAST,Hotel,38.71756,True,False,False,5570472.0,196.34,51.0
4.0,1.0,21.0,51390.0,Small,NORTHWEST,Hotel,37.23071,True,False,False,3864699.0,138.87,86.0
3.0,1.0,20.0,69138.0,Medium,NORTHWEST,Hotel,57.02444,True,False,False,3298570.0,88.4,75.0
5.0,1.0,118.0,190980.0,Medium,DOWNTOWN,Hotel,68.16571,True,False,False,6935723.0,150.23,97.0
4.0,1.0,26.0,162222.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,56.957,True,False,False,7753080.0,208.03,75.0
5.0,1.0,24.0,123920.0,Medium,LAKE UNION,Hotel,45.13235,True,False,False,8964061.0,289.43,82.0
7.0,1.0,24.0,207656.0,Medium,MAGNOLIA / QUEEN ANNE,Hotel,51.66456,True,False,False,10735331.0,314.26,77.0
4.0,1.0,54.0,64893.0,Medium,NORTHWEST,Hotel,41.28353,True,False,False,6056481.0,206.3,73.0
9.0,1.0,17.0,168449.0,Medium,GREATER DUWAMISH,Hotel,48.67899,True,False,False,13116256.0,402.03,61.0
16.0,1.0,91.0,106860.0,Medium,NORTHEAST,Hotel,31.34166,True,False,False,12087498.0,467.18,46.0
4.0,1.0,61.0,122309.0,Medium,DOWNTOWN,Hotel,27.03535,True,False,False,24060332.0,977.73,13.0
8.0,1.0,19.0,254273.0,Large,DOWNTOWN,Hotel,52.81946,True,False,False,27787286.0,798.63,23.0
21.0,1.0,92.0,305548.0,Large,DOWNTOWN,Hotel,45.2334,True,True,False,32135246.0,1391.7,61.0
19.0,1.0,49.0,332067.0,Large,DOWNTOWN,Hotel,57.16821,True,True,False,35383012.0,1231.19,8.0
5.0,1.0,43.0,109017.0,Medium,LAKE UNION,Hotel,60.97306,True,False,False,10018321.0,250.25,27.0
